web-scraper-order;web-scraper-start-url;etat;marque;annee;boite_vitesse;adresse;prix;Image_Lien
1707774155-1;https://www.expat-dakar.com/voitures?page=50;Venant;Kia;2016;Manuelle;"Mamelles,
Dakar";9 000 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/9290a19c17109316c719f939c4286e69/-/horizon-files-prod/ed/picture/qj4rwgg8/8491c4bf68508058f342f7cedf146a2438e863da.jpg
1707774155-2;https://www.expat-dakar.com/voitures?page=50;D'occasion;Ford;2013;Automatique;"VDN,
Dakar";4 800 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d9c2ddc9bdca60355c5b2be2304c6fa/-/horizon-files-prod/ed/picture/qj4r7djr/2a701092a3328bcfee25ea3505002ed581927ca4.jpg
1707774155-3;https://www.expat-dakar.com/voitures?page=50;;;;;;;
1707774155-4;https://www.expat-dakar.com/voitures?page=50;D'occasion;Jeep;2014;Automatique;"Almadies,
Dakar";27 000 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f54ecfe8f46e7477dd858747bb8dfc6/-/horizon-files-prod/ed/picture/qxj2ev6w/e68e62adedd120db5f26cadc3b383c6ff8c288db.jpg
1707774155-5;https://www.expat-dakar.com/voitures?page=50;D'occasion;Jeep;2009;Automatique;"Saly Portudal,
Thiès";10 000 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/ada23882565618f87bf244a18caf35f2/-/horizon-files-prod/ed/picture/qxj2kerz/acf6ceed29c1e33ad0535eb516db3b9dafd0cf47.jpg
1707774155-6;https://www.expat-dakar.com/voitures?page=50;D'occasion;Range Rover;2013;Automatique;"Rufisque,
Dakar";10 000 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc927c23b5ab7d8e4c3e79e111f194c2/-/horizon-files-prod/ed/picture/qngxwzv0/1561ad0262aba7a0f658cfe4fa0c69862da77ee7.jpg
1707774155-7;https://www.expat-dakar.com/voitures?page=50;Neuf;Chevrolet;2015;Automatique;"Cité Damel,
Dakar";8 900 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4541b7b10c85327c948c04d12b2598a/-/horizon-files-prod/ed/picture/qngxnpj9/47b3927cd6a79d21039a8c416e00c83946bb8dda.jpg
1707774155-8;https://www.expat-dakar.com/voitures?page=50;Neuf;Kia;2016;Automatique;"Cité Damel,
Dakar";12 500 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/71a8b6d0298023e2c1a0b360ccd497f6/-/horizon-files-prod/ed/picture/qgq9k5g0/3cf8df6638fd22bdb8888778d656793b6d40387d.jpg
1707774155-9;https://www.expat-dakar.com/voitures?page=50;Venant;Dacia;2015;Manuelle;"Plateau,
Dakar";6 000 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d0160a219d09ec0c1058ec3aaf39b1f/-/horizon-files-prod/ed/picture/qrzv4648/ec2f5fdfedc71510f083ffd45df8931f2403150e.jpg
1707774155-10;https://www.expat-dakar.com/voitures?page=50;Venant;Ssangyong;2016;Manuelle;"Plateau,
Dakar";8 500 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf325fc0dac73c61babba965ab2e9a8b/-/horizon-files-prod/ed/picture/qm5pkpe6/b98c6199467d3f07dc6c7d3ed4d48d8f250d7575.jpg
1707774155-11;https://www.expat-dakar.com/voitures?page=50;D'occasion;Ford;2013;Automatique;"Mamelles,
Dakar";3 300 000 F Cfa;https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0ad66835637370685677295b37bfe2e/-/horizon-files-prod/ed/picture/qenqmrd6/868a69cdea021ed03de80eca4cde3e6b2db5f5d6.jpg
