web-scraper-order;web-scraper-start-url;etat;marque;annee;prix;adresse;description;image_lien
1707773164-1;https://www.expat-dakar.com/motos-scooters?page=25;Venant;SYM;2015;375 000 F Cfa;"Guediawaye,
Dakar";Sym fighter 2015;https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dc2e911feaa904e056c3378d2736ef4/-/horizon-files-prod/ed/picture/q8v5gxzx/0f112e8ee2d79e7240be21c5e963bcf97938a494.jpg
1707773164-2;https://www.expat-dakar.com/motos-scooters?page=25;Venant;Yamaha;;1 200 000 F Cfa;"Liberte 6 extension,
Dakar";Yamaha Xmax 250i Nouveau Modèle;https://i.roamcdn.net/hz/ed/listing-thumb-224w/48875d397654a2818a9a798b14d5e8e4/-/horizon-files-prod/ed/picture/q8vvm4q4/bab37bee6f52a3b92ac6aee447d9fbd0eba117b3.jpg
1707773164-3;https://www.expat-dakar.com/motos-scooters?page=25;Venant;Piaggio;;275 000 F Cfa;"Pikine,
Dakar";Piaggo zip 2temps50cc;https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1798bd71b6b00749b2b86fb6fd3530e/-/horizon-files-prod/ed/picture/qrz299mx/5b8fc60052f81598bd64397cbf49e275c7377a2b.jpg
1707773164-4;https://www.expat-dakar.com/motos-scooters?page=25;Venant;Yamaha;;1 600 000 F Cfa;"Liberte 6 extension,
Dakar";Xmax Let’s Go (Clé commande), Papiers complets;https://i.roamcdn.net/hz/ed/listing-thumb-224w/d06583f736f7fa241cf233d668678c61/-/horizon-files-prod/ed/picture/qzv2eqng/6ae9ba72e5ac84817f7b1c464a795b68f119dd67.jpg
1707773164-5;https://www.expat-dakar.com/motos-scooters?page=25;Neuf;Kymco;;575 000 F Cfa;"Pikine,
Dakar";Kymco like 200i;https://i.roamcdn.net/hz/ed/listing-thumb-224w/5091cdf49a46a3b930580b9672de06fe/-/horizon-files-prod/ed/picture/q429ek4/1a11a0d5e1c96c9042592a870e2c84c3d5e40a0b.jpg
1707773164-6;https://www.expat-dakar.com/motos-scooters?page=25;D'occasion;Kia;2012;3 500 000 F Cfa;"Dieuppeul,
Dakar";Kia Sportage 2012;https://i.roamcdn.net/hz/ed/listing-thumb-224w/31d63481a471f5ffd5178017394cb11a/-/horizon-files-prod/ed/picture/qm5p9pp2/c8ee27fdec0e4376a31aab7834dda46a96ed6537.jpg
1707773164-7;https://www.expat-dakar.com/motos-scooters?page=25;Venant;BMW;2018;17 000 000 F Cfa;"Sacré-cœur,
Dakar";BMW X2 2018;https://i.roamcdn.net/hz/ed/listing-thumb-224w/5731089af961c43d38b7b8581e43bb0b/-/horizon-files-prod/ed/picture/q78vpkpd/f3e6278263046048baa5129ff956fb910b7976ba.jpg
1707773164-8;https://www.expat-dakar.com/motos-scooters?page=25;Venant;TM;2020;3 500 000 F Cfa;"Sacré-cœur,
Dakar";X ADV 2020;https://i.roamcdn.net/hz/ed/listing-thumb-224w/842d86727044ffddc69bc2c9b26acee8/-/horizon-files-prod/ed/picture/q785d6x8/72fc755b33fa30457ebcdb34f8cb42e9974b3d1b.jpg
1707773164-9;https://www.expat-dakar.com/motos-scooters?page=25;;;;30 000 F Cfa;"Médina,
Dakar";Location de voitures tout type de Ford fusion;https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f1260cc72b37c010e073490a691f583/-/horizon-files-prod/ed/picture/qenqmk96/520b29d3b815c88c2876da678d29cf549926dee9.jpg
1707773164-10;https://www.expat-dakar.com/motos-scooters?page=25;;;;30 000 F Cfa;"Almadies 2,
Dakar";Location de voiture Ford fusion;https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f855d0b301f49315d873ca5f12bcb50/-/horizon-files-prod/ed/picture/q448r48m/1e8ed2ade1a96bcad729c96fd4c0b8679543d6ff.jpg
